Gender Coded,Gender,Price,Purchase_Coded,Purchase
1,Male,8.49,1,Yes
1,Male,12.49,0,No
0,Female,11.49,0,No
1,Male,9.49,0,No
1,Male,14.49,0,No
1,Male,9.49,0,No
1,Male,14.49,0,No
0,Female,9.49,0,No
0,Female,11.49,0,No
1,Male,14.49,0,No
1,Male,11.49,1,Yes
1,Male,9.49,1,Yes
1,Male,10.49,1,Yes
1,Male,8.49,0,No
0,Female,8.49,0,No
1,Male,14.49,0,No
0,Female,13.49,0,No
1,Male,10.49,0,No
1,Male,9.49,0,No
0,Female,10.49,0,No
1,Male,8.49,0,No
1,Male,8.49,1,Yes
0,Female,9.49,0,No
1,Male,13.49,0,No
1,Male,10.49,0,No
1,Male,11.49,0,No
1,Male,8.49,0,No
1,Male,9.49,0,No
1,Male,11.49,0,No
1,Male,8.49,0,No
1,Male,10.49,0,No
0,Female,12.49,0,No
0,Female,8.49,0,No
0,Female,8.49,1,Yes
1,Male,8.49,1,Yes
1,Male,11.49,0,No
1,Male,9.49,0,No
1,Male,9.49,0,No
1,Male,10.49,1,Yes
1,Male,10.49,1,Yes
1,Male,9.49,1,Yes
0,Female,9.49,0,No
1,Male,8.49,1,Yes
1,Male,13.49,1,Yes
1,Male,12.49,0,No
1,Male,10.49,0,No
0,Female,11.49,0,No
0,Female,8.49,0,No
0,Female,10.49,0,No
1,Male,8.49,0,No
1,Male,14.49,0,No
0,Female,13.49,0,No
1,Male,10.49,0,No
0,Female,11.49,0,No
1,Male,13.49,0,No
0,Female,14.49,0,No
1,Male,12.49,0,No
0,Female,9.49,0,No
1,Male,11.49,0,No
1,Male,10.49,0,No
1,Male,12.49,0,No
0,Female,12.49,0,No
0,Female,8.49,1,Yes
1,Male,10.49,0,No
1,Male,11.49,1,Yes
0,Female,9.49,0,No
1,Male,9.49,1,Yes
0,Female,13.49,0,No
0,Female,14.49,0,No
1,Male,11.49,0,No
0,Female,10.49,0,No
1,Male,11.49,0,No
1,Male,10.49,1,Yes
1,Male,14.49,0,No
0,Female,11.49,1,Yes
0,Female,11.49,0,No
1,Male,14.49,0,No
1,Male,10.49,0,No
0,Female,10.49,0,No
1,Male,13.49,0,No
1,Male,12.49,0,No
1,Male,14.49,0,No
0,Female,11.49,1,Yes
1,Male,13.49,0,No
0,Female,12.49,1,Yes
1,Male,10.49,0,No
1,Male,11.49,0,No
1,Male,12.49,0,No
1,Male,10.49,0,No
1,Male,10.49,1,Yes
1,Male,14.49,0,No
1,Male,13.49,0,No
1,Male,11.49,0,No
0,Female,9.49,0,No
0,Female,11.49,1,Yes
1,Male,13.49,0,No
0,Female,14.49,0,No
0,Female,10.49,0,No
0,Female,14.49,0,No
0,Female,13.49,0,No
0,Female,14.49,0,No
1,Male,9.49,0,No
0,Female,8.49,0,No
0,Female,8.49,1,Yes
0,Female,12.49,0,No
0,Female,9.49,1,Yes
1,Male,12.49,0,No
1,Male,12.49,0,No
0,Female,14.49,0,No
0,Female,13.49,0,No
0,Female,9.49,0,No
1,Male,8.49,0,No
0,Female,12.49,0,No
0,Female,14.49,0,No
0,Female,13.49,1,Yes
0,Female,8.49,0,No
1,Male,9.49,0,No
0,Female,8.49,0,No
1,Male,8.49,1,Yes
0,Female,13.49,0,No
1,Male,12.49,0,No
0,Female,13.49,0,No
1,Male,14.49,0,No
0,Female,9.49,0,No
0,Female,8.49,0,No
0,Female,12.49,0,No
1,Male,12.49,0,No
1,Male,12.49,0,No
1,Male,10.49,0,No
1,Male,9.49,1,Yes
1,Male,14.49,0,No
0,Female,9.49,0,No
0,Female,13.49,1,Yes
1,Male,12.49,0,No
1,Male,11.49,0,No
0,Female,10.49,0,No
0,Female,12.49,0,No
1,Male,8.49,0,No
1,Male,10.49,0,No
1,Male,9.49,1,Yes
1,Male,11.49,0,No
0,Female,13.49,0,No
1,Male,8.49,0,No
0,Female,14.49,1,Yes
0,Female,8.49,1,Yes
0,Female,12.49,0,No
0,Female,13.49,0,No
0,Female,13.49,0,No
0,Female,14.49,0,No
0,Female,8.49,0,No
1,Male,13.49,0,No
1,Male,13.49,0,No
0,Female,12.49,0,No
1,Male,14.49,0,No
1,Male,8.49,0,No
0,Female,12.49,0,No
1,Male,8.49,0,No
1,Male,13.49,0,No
0,Female,14.49,0,No
0,Female,13.49,0,No
0,Female,13.49,0,No
1,Male,13.49,0,No
1,Male,12.49,1,Yes
0,Female,12.49,0,No
1,Male,13.49,0,No
0,Female,14.49,0,No
0,Female,8.49,0,No
0,Female,11.49,0,No
1,Male,9.49,0,No
0,Female,10.49,0,No
0,Female,8.49,0,No
1,Male,9.49,0,No
1,Male,11.49,0,No
1,Male,12.49,0,No
1,Male,9.49,0,No
1,Male,10.49,0,No
0,Female,13.49,0,No
0,Female,11.49,0,No
0,Female,12.49,1,Yes
1,Male,8.49,1,Yes
0,Female,12.49,1,Yes
0,Female,12.49,0,No
0,Female,13.49,0,No
0,Female,8.49,0,No
1,Male,14.49,0,No
0,Female,8.49,0,No
1,Male,13.49,0,No
0,Female,10.49,0,No
1,Male,11.49,0,No
1,Male,9.49,0,No
1,Male,13.49,0,No
1,Male,9.49,1,Yes
0,Female,10.49,1,Yes
1,Male,12.49,0,No
1,Male,9.49,0,No
1,Male,10.49,0,No
1,Male,10.49,0,No
1,Male,14.49,1,Yes
1,Male,11.49,0,No
0,Female,14.49,0,No
0,Female,10.49,0,No
0,Female,9.49,0,No
0,Female,8.49,0,No
0,Female,11.49,0,No
1,Male,12.49,0,No
1,Male,9.49,0,No
0,Female,11.49,0,No
1,Male,10.49,0,No
1,Male,14.49,0,No
1,Male,11.49,0,No
1,Male,13.49,0,No
1,Male,12.49,0,No
0,Female,13.49,1,Yes
1,Male,14.49,0,No
1,Male,13.49,0,No
1,Male,12.49,0,No
1,Male,8.49,0,No
1,Male,9.49,1,Yes
1,Male,8.49,0,No
1,Male,14.49,0,No
